age,emp_length_years,annual_income,credit_score,dti,revol_bal,total_credit_lines,open_credit_lines,public_derogatory,inquiries_last_6m,loan_amount,interest_rate,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,loan_intent_BUSINESS,loan_intent_DEBT_CONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOME_IMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,term_months_36,term_months_60,lti,pti,revol_util_ratio,interest_risk_index,debt_burden_index,loan_status
65,4.8,128400.0,666,26.18,36444.7325,16,6,0,0,34300.0,17.79,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,0.26713187591996945,0.08102802448020971,0.2838352699745329,0.698264167916042,89.7974,1
29,0.6,40800.0,646,16.29,65.4,19,10,0,0,18400.0,16.62,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,0.45096933898678954,0.19186582219876297,0.0016029018896595673,0.41845409582689336,29.9736,1
61,1.7,32100.0,627,12.52,36444.7325,12,9,0,4,14400.0,15.51,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.4485841562568144,0.18788662748130736,1.1353145540637364,0.309212101910828,18.0288,1
67,3.1,63500.0,612,25.31,4039.0,25,14,0,0,14900.0,17.64,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0.2346419741421395,0.10126911505572286,0.06360529755436922,0.7283334420880914,37.7119,0
37,3.2,98800.0,660,6.58,18782.83,13,8,0,1,14300.0,13.28,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.14473537717229581,0.05874845376840983,0.19010769121770024,0.13219727685325264,9.4094,0
35,6.4,134600.0,662,21.11,6584.67,19,11,0,0,11400.0,14.13,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.08469476452626652,0.03479735775637074,0.04891991887133082,0.4499009049773756,24.065399999999997,0
40,2.1,60400.0,719,18.65,4660.22,19,13,0,3,24900.0,16.52,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,0.41224483038360293,0.12164883767882956,0.07715468286948891,0.4279138888888888,46.4385,1
64,0.5,100200.0,673,13.58,19024.55,15,9,0,3,10000.0,15.71,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,0.09979940319956887,0.028935743894921026,0.18986387361403578,0.31653086053412466,13.58,1
45,1.6,79400.0,672,14.8,18509.77,15,6,1,0,6900.0,12.85,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0.08690066875732044,0.03505617210684756,0.23311759297741844,0.2825854383358098,10.212,1
54,4.7,29900.0,637,9.11,1252.73,19,12,0,1,1200.0,17.13,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0.04013243704223939,0.01199800837872641,0.04189592321327046,0.24459921630094042,1.0932,1
66,11.3,79400.0,667,14.06,3660.31,17,10,1,1,5700.0,14.96,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,0.07178750897343862,0.029841445350027467,0.0460990415737837,0.3148766467065868,8.014199999999999,0
57,3.0,37800.0,684,11.32,25628.9,12,8,0,0,7500.0,12.26,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0.198407449538372,0.07935249390456518,0.6779952911298643,0.2026032116788321,8.49,0
48,12.3,130000.0,558,8.46,5193.68,22,13,0,1,1400.0,18.5,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,0.010769147929631311,0.004704045783284678,0.03995107729940539,0.2799821109123435,1.1844000000000003,1
61,25.0,15800.0,623,12.21,14390.02,18,9,0,0,2200.0,15.01,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,0.13923169419656983,0.05788603337426784,0.9107031200556928,0.2937052884615385,2.6862000000000004,1
24,1.9,79400.0,642,15.84,19905.96,13,7,1,1,1000.0,17.51,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0.012594299819901513,0.003797051717723713,0.25070162844296673,0.4313505443234837,1.584,0
27,1.3,37500.0,685,5.5,7218.12,20,13,1,0,16900.0,12.15,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.45065464920935444,0.1799530939203606,0.19247806725153996,0.09741253644314869,9.295,1
29,4.8,86600.0,730,2.0,13150.49,10,10,0,1,34300.0,10.74,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,0.3960693294534705,0.15499738645044292,0.15185147977506033,0.0293844049247606,6.86,0
57,1.1,37800.0,660,26.58,32348.16,14,4,0,0,8300.0,16.56,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.21957091082246502,0.09333649344547638,0.8557487897145578,0.66590741301059,22.0614,1
58,1.7,43700.0,642,31.41,11888.66,12,6,0,0,8800.0,16.01,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,0.20136838973936524,0.08494473049115465,0.27204549094986386,0.782074805598756,27.6408,0
67,0.2,87900.0,739,20.6,7563.58,14,8,0,1,4500.0,13.05,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0.05119395683780617,0.013991816171436125,0.08604657512428755,0.36328378378378384,9.270000000000001,1
67,4.7,60200.0,689,16.28,4243.66,15,10,0,0,1000.0,15.53,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,0.016611019750502484,0.004796858669305459,0.07049152007441736,0.3664179710144928,1.6280000000000001,0
51,17.2,74300.0,687,24.56,9104.47,14,7,1,0,1000.0,16.31,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,0.013458769060981682,0.00570194946034789,0.12253495915263589,0.5822290697674418,2.456,0
57,2.4,50300.0,691,10.5,6687.06,18,13,0,0,22600.0,12.27,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,0.44929524263931137,0.12064242947736177,0.13294089580724042,0.1861777456647399,23.729999999999997,1
39,1.9,95300.0,667,22.75,14777.98,18,8,0,0,13300.0,18.2,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,0.13955782205853035,0.04270370407147678,0.15506636866349777,0.6198353293413174,30.2575,0
28,7.7,82000.0,703,30.97,592.24,12,8,1,2,12500.0,16.67,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.15243716540042196,0.06490886989887154,0.007222350946939671,0.7333379261363636,38.7125,1
43,0.5,45800.0,728,15.5,8832.71,23,12,0,0,1000.0,14.26,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,0.02183358441955416,0.008985605138211011,0.19284971943844018,0.30319615912208503,1.55,0
60,2.4,44200.0,705,23.28,34041.25,22,12,0,1,10500.0,14.49,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.237551186624737,0.09808261743104782,0.7701466030180313,0.47780056657223796,24.444000000000003,0
52,2.1,24300.0,683,30.34,2685.56,13,8,0,0,7400.0,13.81,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,0.30451421752191266,0.12449758946512628,0.11051232459569565,0.6125663742690058,22.4516,1
67,5.6,58200.0,690,17.96,6046.43,10,5,0,0,5700.0,14.44,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,0.0979364615728252,0.027609328704058266,0.1038887647978557,0.3753146164978292,10.2372,0
53,3.6,70000.0,739,15.39,9079.47,13,9,0,0,31500.0,13.94,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0.44999357152040687,0.1254591368448837,0.12970486135912343,0.2899143243243243,48.478500000000004,0
57,0.0,33300.0,660,28.71,915.78,12,7,3,0,15000.0,16.03,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0.4504369238161016,0.19004959959185105,0.027500075072820634,0.6962500756429653,43.065,1
63,0.1,23500.0,632,7.65,9074.48,18,9,2,2,3600.0,16.38,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0.15318497085230415,0.04505283828814963,0.38613165397217136,0.19795734597156397,2.754,1
49,0.1,104300.0,614,33.49,12104.72,13,6,1,1,12200.0,16.03,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0.11696915657568001,0.04936304777434725,0.1160556466380955,0.872918211382114,40.857800000000005,1
55,4.1,24500.0,732,32.41,7232.26,17,7,0,2,11000.0,13.65,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,0.44896126688706584,0.18313645318059635,0.2951822374596955,0.6035422919508867,35.650999999999996,1
43,1.2,47400.0,720,16.8,36444.7325,18,9,0,1,2800.0,11.5,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0.059070483745068667,0.023369480640827812,0.7688599924052235,0.2679611650485437,4.704000000000001,1
26,3.0,142987.5,591,16.21,2060.88,19,8,0,0,1500.0,17.72,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.010490354119387223,0.004533006065448278,0.014412907331708495,0.4852047297297297,2.4315,1
33,1.8,44200.0,738,13.03,5559.78,23,11,0,2,1000.0,11.57,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,0.022623922535689237,0.008959370640740427,0.1257840320354743,0.20400148849797023,1.303,0
66,3.5,35300.0,683,44.05500000000001,3384.79,16,4,0,0,1400.0,17.54,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,0.039658933174697604,0.017090239512413563,0.09588368601456049,1.1297144736842106,6.167700000000002,1
43,3.5,49500.0,730,21.99,10471.56,14,8,0,0,1000.0,14.07,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,0.020201612088644672,0.008291720300531722,0.21154239308296802,0.42325485636114907,2.199,0
66,2.3,40500.0,706,9.81,1858.59,19,13,1,0,17900.0,14.14,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0.44196439594084097,0.1815750648380683,0.045889978025233945,0.1962,17.559900000000003,0
44,0.5,142987.5,653,8.08,29447.77,15,10,0,2,15900.0,15.69,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,0.11119775366550456,0.032227502211920146,0.205945023550845,0.19384587155963304,12.8472,1
29,7.3,59600.0,607,8.61,765.26,16,9,0,4,11700.0,16.18,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,0.19630543111692758,0.057500127189154544,0.012839717454405127,0.2291279605263158,10.073699999999999,0
35,6.1,81700.0,642,33.18,966.85,17,8,0,4,24100.0,17.17,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0.29497802964468,0.08828356430817003,0.011834004479749331,0.8860040435458787,79.9638,1
21,0.3,50300.0,681,26.79,8174.98,18,11,0,0,10600.0,16.32,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0.21073139699011947,0.08928478754264788,0.16252122224210253,0.6410744868035191,28.3974,0
54,4.1,46800.0,639,16.97,15599.72,20,10,1,0,12800.0,16.27,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,0.2734984295207367,0.11579546746214837,0.33332022820025214,0.43140921875,21.7216,0
32,1.2,32200.0,593,7.55,14539.44,22,4,0,0,5900.0,16.59,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.18322412347442626,0.07791475213640264,0.4515213813235614,0.21086616161616162,4.4544999999999995,1
50,0.6,57200.0,714,40.98,13109.47,18,13,0,0,8900.0,15.59,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,0.1555916854600444,0.04498986162170103,0.22918253177392003,0.893535944055944,36.4722,1
53,0.4,55800.0,595,18.7,36444.7325,20,11,0,5,25100.0,16.62,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,0.44981272737047723,0.19138760596809032,0.6531197021558753,0.5214664429530201,46.937,0
59,2.3,67200.0,756,33.68,11260.73,15,9,0,0,22400.0,15.24,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,0.33332837308968616,0.0956472985691493,0.16756789333492061,0.678049141347424,75.4432,1
44,0.4,117000.0,732,8.18,27849.07,13,7,1,0,25400.0,12.02,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,0.21709216160545636,0.05797002500186264,0.23802420492132545,0.13413860845839018,20.7772,0
43,3.2,15000.0,709,18.9,31706.27,20,11,0,1,3100.0,13.93,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,0.20665288980734617,0.05756924551575867,2.113610425971602,0.370812676056338,5.858999999999999,1
67,1.8,15000.0,686,23.49,2034.42,15,11,0,0,1800.0,15.12,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.11999200053329778,0.04996276525010798,0.13561895873608426,0.5169851528384279,4.228199999999999,1
32,7.8,27300.0,749,14.45,5750.77,19,11,0,1,3000.0,11.32,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,0.10988608475880005,0.04335298599179162,0.21064319988278818,0.21809866666666664,4.335,0
38,3.0,73500.0,602,16.37,17627.49,27,18,0,3,4100.0,14.26,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.055781553992462686,0.02295895941650429,0.23982653297234052,0.3871247097844113,6.7117,1
50,9.1,38900.0,621,9.8,2165.86,15,7,0,0,5500.0,16.34,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,0.14138454024318142,0.05991617166601886,0.05567620369656307,0.2574469453376206,5.390000000000001,0
21,1.1,142987.5,649,29.62,36444.7325,21,12,0,5,3800.0,15.81,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.0265755637691143,0.011181063958463387,0.2548787664742269,0.7204495384615385,11.255600000000001,0
36,0.3,64400.0,591,16.88,4311.72,17,9,1,5,22000.0,20.09,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.34160960233536747,0.1525072432727847,0.06695113429915685,0.5728364864864864,37.136,0
42,1.2,26600.0,709,39.66,9655.92,24,11,2,1,2400.0,15.87,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.09022217209879328,0.03797817156119632,0.362990865005075,0.8864847887323943,9.518399999999998,1
33,3.3,130000.0,704,9.38,7379.66,20,13,1,1,18700.0,14.04,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,0.14384504734578965,0.0401966753097082,0.05676617872170214,0.18680170212765956,17.5406,0
46,5.6,77900.0,664,10.65,6905.18,22,7,0,0,5700.0,13.36,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,0.073169792428852,0.020137391950378735,0.08864045390944918,0.21396090225563907,6.0705,0
42,6.4,104700.0,622,19.43,12472.36,16,7,0,0,5200.0,16.83,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,0.04966523719926266,0.021195797512347143,0.11912359958357609,0.5248906902086677,10.1036,0
23,1.9,39200.0,729,12.93,6244.29,14,6,0,2,15500.0,12.68,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0.39539807657967907,0.15909530184820248,0.1592890487487564,0.22459232876712326,20.0415,0
27,2.8,47200.0,671,9.15,3980.49,24,15,0,0,19800.0,12.93,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,0.4194826380797017,0.16939918531760076,0.08433062858837737,0.17605580357142858,18.117,0
33,6.9,70500.0,727,36.23,15705.32,18,6,0,0,6600.0,15.69,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,0.09361569339441994,0.0271296970343537,0.2227673366335229,0.7808361263736262,23.9118,1
41,0.8,65100.0,683,26.28,2468.77,24,9,1,1,18700.0,13.45,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.2872459716440608,0.11687020420027058,0.037922151733460314,0.5167631578947368,49.143600000000006,0
58,4.6,44700.0,787,14.65,13126.45,9,7,0,0,11400.0,10.69,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,0.2550278517259122,0.09971820398932975,0.29365003020066666,0.1987417512690355,16.701,0
64,0.2,51100.0,670,44.05500000000001,1190.79,15,11,0,0,8400.0,18.19,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,0.16438034480734232,0.07148568342022438,0.02330267509442085,1.1942778688524591,37.00620000000001,0
52,1.4,76500.0,650,11.98,6947.86,17,13,0,1,17000.0,14.32,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.22221931739454387,0.09154099153070556,0.09082051215016797,0.2635231950844854,20.366,0
37,4.2,99000.0,713,30.49,15488.06,17,8,0,0,17400.0,15.63,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0.17575580044646014,0.07375574774547468,0.15644347026797709,0.6674491596638655,53.0526,1
38,1.9,62200.0,749,18.46,9260.86,22,9,0,0,7800.0,13.37,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,0.1253999131846755,0.034518389414428065,0.1488860307712095,0.3290802666666667,14.398800000000001,1
33,1.9,78600.0,656,32.76,4494.45,25,12,1,0,19100.0,15.82,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.2429994529331688,0.10224442340351868,0.0571805702217529,0.7888328767123287,62.5716,0
55,2.6,109800.0,679,44.05500000000001,7165.79,19,11,3,1,10900.0,20.01,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,0.09927049844719082,0.031564199007715406,0.06526160963925648,1.2963831617647061,48.01995000000001,1
23,11.5,39300.0,618,25.51,16954.41,10,4,0,2,17700.0,15.91,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.45037021958728785,0.18971102051171382,0.43139894659168976,0.6556770597738287,45.1527,0
33,0.2,28700.0,623,24.22,14722.35,11,9,0,2,10000.0,15.14,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,0.3484199156823804,0.14516826279973358,0.5129559945646494,0.5876455128205128,24.22,1
42,6.4,75400.0,626,3.14,3253.09,16,6,0,0,1200.0,13.87,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0.015914908290340975,0.006514203904202795,0.04314385750852111,0.06946060606060606,0.3768,0
34,0.6,37700.0,790,10.51,3193.48,18,10,0,0,17000.0,10.94,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,0.45091642131508447,0.1769437676863906,0.08470544547889977,0.14535954487989886,17.867,1
59,2.0,24100.0,617,3.47,12585.51,14,10,0,0,4400.0,16.77,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.18256503879507074,0.07782123795392365,0.5221986639558525,0.0941616504854369,1.5268000000000002,1
33,4.7,75400.0,767,28.47,32188.04,18,8,0,0,31700.0,13.67,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,0.4204188273365075,0.11651059439992527,0.4268914205381892,0.506751171875,90.2499,0
37,7.9,20800.0,723,16.87,4465.28,17,12,0,0,9400.0,14.85,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.4519013508965915,0.18748646666188806,0.21466660256718426,0.34602140883977905,15.8578,1
38,2.8,33900.0,727,9.24,8085.57,12,5,2,2,6700.0,11.54,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.1976342880740981,0.07822601692546387,0.23850535382437096,0.14646923076923077,6.1908,0
25,10.0,71500.0,673,22.56,15122.27,15,10,1,1,12100.0,14.55,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,0.16922840239996642,0.06993885432656773,0.2114973217157802,0.4870148367952522,27.2976,0
67,5.2,34500.0,698,24.85,25593.41,13,8,0,0,15500.0,15.78,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,0.44926234022202255,0.18889151065886292,0.7418164690878525,0.5609914163090128,38.517500000000005,0
50,5.5,132500.0,663,32.3,31483.08,20,9,0,0,2800.0,15.64,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,0.02113191598553973,0.008869484875121956,0.23760635768786653,0.760801204819277,9.044,0
39,0.0,21300.0,546,18.08,5358.02,19,12,0,0,9600.0,17.43,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,0.45068306652269846,0.19387620971744365,0.2515384254260364,0.5761140767824496,17.356799999999996,1
59,6.8,115700.0,634,30.8,26022.2,21,13,0,0,3500.0,17.89,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.03025038677280231,0.01310221929450794,0.22490903276549037,0.8677354330708662,10.78,0
51,10.1,28800.0,758,28.53,19117.1,16,5,0,0,6000.0,13.71,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0.2083260997882018,0.05777137273149969,0.6637651470435054,0.5153442687747036,17.118,0
40,3.0,31600.0,676,4.98,15979.73,15,9,1,0,5900.0,13.91,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,0.18670295243821397,0.052008431695046126,0.5056716559602544,0.10232171344165437,2.9382,0
26,0.3,115900.0,634,33.48,4211.14,21,9,0,4,3600.0,18.2,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.031060991708440823,0.013511294371102595,0.03633394017307875,0.9595842519685038,12.052799999999998,1
66,4.0,45900.0,756,25.34,839.58,17,11,0,1,1000.0,13.78,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,0.021786017733818434,0.008905090207148735,0.018291104768959284,0.4612750330250991,2.5340000000000003,0
46,20.5,44600.0,639,40.65,2806.48,24,11,0,1,1000.0,18.84,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,0.02242102195018049,0.00983820719533552,0.06292414968274254,1.196634375,4.065,1
42,11.2,37100.0,613,10.23,2418.31,21,8,0,1,14600.0,15.88,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.39352039028597613,0.16569135661980688,0.06518180102962184,0.2645804560260587,14.9358,0
66,5.7,83400.0,685,25.04,4710.45,15,10,1,0,22800.0,16.51,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0.2733780170501553,0.08065730960420411,0.05647953861464491,0.6026390670553936,57.09119999999999,0
59,4.2,36600.0,651,18.27,29512.51,17,11,0,0,16500.0,15.5,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0.45080735499030083,0.1887991599015483,0.8063307013469577,0.4343328220858896,30.1455,1
48,0.4,36600.0,623,14.96,27995.98,22,7,0,4,16200.0,17.33,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,0.44261085762684077,0.19017971426673433,0.764896587524931,0.415475641025641,24.235200000000003,1
27,8.6,142987.5,655,27.73,19960.15,18,12,0,1,2200.0,17.09,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,0.015385852708434594,0.006590337230449347,0.13959269451739126,0.7224172256097562,6.1006,0
41,6.7,43500.0,747,26.22,36444.7325,12,7,2,2,19600.0,12.22,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0.4505643548424174,0.18010531958976508,0.8377906829728052,0.4283534759358289,51.3912,1
61,4.4,125400.0,683,20.01,13112.59,20,15,0,0,21400.0,14.75,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.17065254663040966,0.07073206316615725,0.10456527459908613,0.4315021929824562,42.821400000000004,0
62,2.8,33400.0,679,31.68,17818.25,27,14,1,0,1000.0,14.23,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,0.02993922337654561,0.01231513646096168,0.5334645669291339,0.6629505882352941,3.168,1
60,0.9,101300.0,546,13.92,3330.97,15,4,0,0,7700.0,18.08,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,0.07601109564565009,0.0330088312112678,0.03288190639776507,0.46009798903107857,10.7184,1
60,12.5,26000.0,640,9.87,782.15,20,14,0,0,1800.0,16.33,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,0.06922810661128419,0.020339261926111712,0.0300815353255644,0.2514463338533541,1.7765999999999997,1
45,8.1,41200.0,661,2.94,15616.18,17,10,0,1,1600.0,13.09,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0.03883400888327953,0.015717667300233235,0.3790242955268076,0.05813383685800604,0.4704,0
40,17.3,55700.0,715,29.64,4367.15,19,13,0,1,8000.0,15.84,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,0.1436239923879284,0.06044473021374396,0.07840343979461768,0.655722905027933,23.712000000000003,0
37,25.0,65400.0,657,28.58,7451.04,17,10,1,3,1000.0,17.35,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,0.01529028608125258,0.00459386471104846,0.11392853320285623,0.7535911854103343,2.858,1
37,6.0,142987.5,707,8.65,9814.55,13,4,0,1,4300.0,13.85,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,0.03007234847557671,0.012306398161487942,0.06863873668162124,0.1692125706214689,3.7195,0
32,3.4,47000.0,751,37.7,3627.75,17,10,0,1,6100.0,14.63,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,0.12978447267079424,0.05369392874640757,0.0771845279887662,0.7334454787234043,22.997,1
52,4.8,29100.0,689,7.33,2886.49,19,12,0,2,5500.0,14.01,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,0.1889969416858527,0.0527633534657953,0.09918868767396309,0.14883086956521738,4.0315,0
27,0.8,111800.0,709,26.39,5687.3,17,10,0,4,1300.0,15.4,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.011627802971350883,0.004863877542000275,0.050869849106895286,0.5724028169014085,3.4307000000000003,0
35,2.5,54500.0,674,6.35,28159.24,17,10,0,0,2300.0,12.7,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,0.04220106053099943,0.01698653369991308,0.5166738224986698,0.11947407407407407,1.4605,0
60,4.2,86800.0,660,17.33,7472.8,18,13,0,5,17400.0,17.19,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.20045852006313292,0.0859794567636552,0.08609117406481492,0.4506848714069591,30.154199999999996,0
