applicant_id,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,loan_status
LN-10113,0,1,0,0,0,1,0,1,0,1,0,1,1
LN-10114,1,2,1,0,1,0,0,0,0,1,2,1,1
LN-10115,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10116,0,0,1,0,1,2,3,3,3,3,3,3,1
LN-10117,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10118,0,0,0,1,0,0,0,1,2,1,0,0,0
LN-10119,0,0,0,1,2,1,0,0,0,0,0,1,1
LN-10120,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10121,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10122,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10123,0,0,0,0,0,0,0,0,0,1,0,0,0
LN-10124,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10125,1,2,1,0,1,2,1,0,1,0,0,0,1
LN-10126,1,0,0,0,0,0,0,0,0,0,0,0,0
LN-10127,0,1,0,1,0,0,1,2,3,3,3,3,1
LN-10128,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10129,0,1,0,0,0,0,0,1,2,1,0,0,1
LN-10130,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10131,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10132,1,2,1,0,1,2,3,3,3,3,3,3,1
LN-10133,1,0,0,0,0,1,0,0,0,1,0,0,1
LN-10134,1,0,1,0,1,2,3,3,3,3,3,3,1
LN-10135,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10136,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10137,0,1,0,1,0,0,1,0,0,0,0,0,1
LN-10138,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10139,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10140,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10141,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10142,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10143,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10144,0,0,0,0,0,1,0,1,0,1,2,3,1
LN-10145,0,0,1,0,1,0,1,2,3,3,3,3,1
LN-10146,0,0,0,0,0,1,0,0,0,0,0,0,0
LN-10147,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10148,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10149,1,2,1,0,0,0,0,0,0,0,0,0,0
LN-10150,0,0,1,2,1,0,1,0,0,0,0,1,1
LN-10151,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10152,0,1,0,0,0,1,2,3,3,3,3,3,1
LN-10153,0,0,0,0,1,0,0,0,0,1,0,0,1
LN-10154,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10155,1,0,1,2,1,2,1,0,1,2,3,3,1
LN-10156,0,0,1,2,1,0,0,0,1,2,1,2,1
LN-10157,0,0,0,0,0,0,0,0,0,0,1,2,0
LN-10158,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10159,0,0,1,0,0,0,0,0,0,0,0,0,0
LN-10160,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10161,0,0,0,0,0,0,0,0,0,0,0,1,0
LN-10162,1,2,1,0,0,0,1,0,1,0,1,2,1
LN-10163,0,0,0,0,0,1,0,0,0,0,0,0,0
LN-10164,1,2,1,2,1,2,1,0,0,0,1,0,1
LN-10165,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10166,0,0,0,0,0,0,1,2,1,0,1,0,1
LN-10167,1,2,1,0,1,2,1,2,3,3,3,3,1
LN-10168,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10169,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10170,0,1,0,0,1,0,0,0,1,2,1,2,1
LN-10171,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10172,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10173,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10174,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10175,0,1,0,0,0,1,2,1,0,0,0,0,1
LN-10176,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10177,0,0,0,0,0,1,0,0,0,0,0,0,0
LN-10178,0,1,0,0,0,1,2,1,2,3,3,3,1
LN-10179,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10180,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10181,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10182,0,0,1,0,1,2,3,3,3,3,3,3,1
LN-10183,0,1,0,0,1,0,1,0,1,2,1,2,1
LN-10184,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10185,0,1,2,1,2,1,0,0,1,2,3,3,1
LN-10186,0,0,0,0,0,0,0,0,0,1,0,0,0
LN-10187,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10188,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10189,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10190,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10191,0,1,0,0,0,0,1,0,1,0,1,2,1
LN-10192,0,1,0,1,2,1,0,0,0,1,2,1,1
LN-10193,0,0,0,0,0,0,0,0,0,0,0,1,0
LN-10194,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10195,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10196,0,0,1,0,0,1,2,1,2,3,3,3,1
LN-10197,0,0,1,0,0,1,2,3,3,3,3,3,1
LN-10198,0,0,0,0,0,0,0,1,0,0,0,0,0
LN-10199,0,0,0,0,0,0,1,2,3,3,3,3,1
LN-10200,0,1,2,1,2,3,3,3,3,3,3,3,1
LN-10201,0,0,0,1,2,3,3,3,3,3,3,3,1
LN-10202,0,1,0,0,0,0,0,1,0,0,0,0,0
LN-10203,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10204,0,1,2,3,3,3,3,3,3,3,3,3,1
LN-10205,1,0,1,0,0,0,1,2,3,3,3,3,1
LN-10206,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10207,0,1,0,1,2,1,2,3,3,3,3,3,1
LN-10208,0,1,0,0,0,0,0,0,0,0,0,0,0
LN-10209,1,2,1,0,0,1,2,1,2,3,3,3,1
LN-10210,0,0,0,0,0,0,0,0,0,1,0,0,0
LN-10211,0,0,0,1,0,0,0,0,0,0,0,0,0
LN-10212,0,0,0,1,0,0,0,0,0,0,0,0,0
LN-10213,0,0,0,0,1,2,1,2,1,0,0,0,1
LN-10214,0,0,0,0,0,0,0,0,0,0,0,1,0
LN-10215,0,1,2,1,0,1,0,1,0,0,0,0,1
LN-10216,1,0,0,0,0,0,0,0,0,0,0,0,0
LN-10217,0,0,0,0,0,0,0,0,0,0,1,0,0
LN-10218,0,0,0,0,0,1,0,0,1,0,0,0,0
LN-10219,1,2,1,0,1,2,1,0,0,1,2,3,1
LN-10220,1,0,0,0,0,0,0,0,1,2,1,2,1
LN-10221,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10222,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10223,0,1,0,0,0,0,0,0,0,0,1,0,0
LN-10224,0,0,1,0,1,0,0,1,0,1,2,3,1
LN-10225,0,0,1,0,0,1,0,0,0,0,1,0,0
LN-10226,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10227,0,0,1,2,3,3,3,3,3,3,3,3,1
LN-10228,0,0,1,2,1,2,3,3,3,3,3,3,1
LN-10229,0,1,0,1,0,0,0,1,2,3,3,3,1
LN-10230,0,0,1,0,1,2,1,2,1,0,0,1,1
LN-10231,0,1,0,0,0,1,0,1,0,0,0,1,1
LN-10232,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10233,0,0,1,2,3,3,3,3,3,3,3,3,1
LN-10234,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10235,1,0,0,1,2,1,0,1,0,1,2,3,1
LN-10236,0,1,0,1,0,1,0,0,1,0,1,2,1
LN-10237,0,0,1,2,3,3,3,3,3,3,3,3,1
LN-10238,0,1,0,0,0,0,0,0,0,0,0,0,0
LN-10239,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10240,0,0,0,0,1,0,0,0,0,0,0,0,0
LN-10241,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10242,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10243,0,1,0,0,0,1,2,3,3,3,3,3,1
LN-10244,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10245,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10246,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10247,0,1,0,1,2,1,0,0,1,2,1,2,1
LN-10248,0,1,2,3,3,3,3,3,3,3,3,3,1
LN-10249,0,1,0,1,2,1,2,1,2,1,2,3,1
LN-10250,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10251,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10252,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10253,0,0,1,0,0,1,0,0,1,2,3,3,1
LN-10254,0,1,0,0,0,1,0,1,2,3,3,3,1
LN-10255,0,0,0,0,1,0,0,0,0,0,0,0,0
LN-10256,0,1,0,1,0,1,0,0,0,0,0,0,1
LN-10257,1,0,1,0,0,1,2,3,3,3,3,3,1
LN-10258,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10259,1,0,0,0,0,0,0,0,0,0,0,0,0
LN-10260,0,0,0,0,1,0,0,1,0,0,0,0,0
LN-10261,0,0,0,0,0,0,0,0,0,1,0,0,0
LN-10262,0,0,0,0,0,1,0,0,0,0,0,0,0
LN-10263,1,2,1,2,1,2,1,0,0,1,0,1,1
LN-10264,0,0,0,0,1,0,0,0,0,0,0,0,0
LN-10265,0,0,0,0,0,0,1,0,0,1,2,1,1
LN-10266,0,1,0,0,0,0,0,0,0,0,0,0,0
LN-10267,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10268,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10269,1,0,0,0,1,0,1,2,1,2,1,2,1
LN-10270,0,0,0,1,2,1,0,0,1,2,3,3,1
LN-10271,1,0,0,0,0,1,2,3,3,3,3,3,1
LN-10272,0,0,1,0,0,1,0,0,0,0,0,0,0
LN-10273,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10274,1,2,3,3,3,3,3,3,3,3,3,3,1
LN-10275,0,0,0,0,0,0,0,0,0,1,0,0,0
LN-10276,1,2,3,3,3,3,3,3,3,3,3,3,1
LN-10277,1,2,1,2,1,0,1,2,1,0,1,2,1
LN-10278,0,0,1,0,1,0,0,0,1,0,1,0,1
LN-10279,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10280,0,0,0,0,1,0,0,0,0,0,0,0,0
LN-10281,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10282,1,0,1,0,0,0,1,2,1,0,0,1,1
LN-10283,0,0,0,0,0,1,0,0,0,1,2,1,1
LN-10284,0,1,2,1,0,0,0,0,0,1,0,1,1
LN-10285,0,0,0,1,0,0,0,0,0,1,2,3,1
LN-10286,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10287,0,0,1,0,0,0,0,0,0,0,0,0,0
LN-10288,0,0,0,1,2,1,2,3,3,3,3,3,1
LN-10289,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10290,1,0,0,0,1,0,1,2,3,3,3,3,1
LN-10291,0,0,1,0,1,0,0,1,0,1,2,3,1
LN-10292,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10293,0,1,2,1,0,0,0,0,0,1,2,1,1
LN-10294,1,0,0,0,1,0,1,2,3,3,3,3,1
LN-10295,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10296,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10297,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10298,0,1,0,0,0,0,1,0,0,0,1,2,1
LN-10299,1,0,1,0,0,1,0,0,1,0,0,1,1
LN-10300,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10301,0,0,0,0,0,0,0,0,0,0,0,1,0
LN-10302,0,0,0,0,0,0,0,0,0,0,0,1,0
LN-10303,0,0,1,0,1,2,1,0,1,2,3,3,1
LN-10304,0,0,1,0,1,0,0,1,2,3,3,3,1
LN-10305,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10306,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10307,0,0,1,2,1,0,1,2,1,2,1,0,1
LN-10308,0,0,0,0,0,0,0,1,0,1,0,0,0
LN-10309,0,0,0,0,0,0,1,0,0,1,0,0,0
LN-10310,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10311,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10312,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10313,0,0,0,0,0,1,0,0,1,0,0,0,0
LN-10314,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10315,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10316,0,1,0,1,0,0,1,0,1,2,1,2,1
LN-10317,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10318,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10319,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10320,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10321,0,1,2,3,3,3,3,3,3,3,3,3,1
LN-10322,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10323,0,1,0,1,0,1,0,1,2,3,3,3,1
LN-10324,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10325,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10326,1,0,0,0,1,2,3,3,3,3,3,3,1
LN-10327,1,0,0,1,2,3,3,3,3,3,3,3,1
LN-10328,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10329,0,0,0,0,0,0,1,2,3,3,3,3,1
LN-10330,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10331,1,0,1,0,1,0,0,1,0,1,2,1,1
LN-10332,0,0,1,0,0,0,0,0,1,0,1,0,1
LN-10333,0,0,0,1,0,1,0,0,0,0,0,1,1
LN-10334,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10335,0,1,0,0,1,2,1,2,1,0,0,0,1
LN-10336,1,0,0,0,1,2,1,0,1,2,1,2,1
LN-10337,0,0,0,0,0,0,0,1,0,0,0,0,0
LN-10338,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10339,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10340,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10341,0,0,1,0,0,0,0,1,2,3,3,3,1
LN-10342,0,0,0,0,1,2,1,0,0,1,2,1,1
LN-10343,0,0,0,0,1,0,0,0,0,0,0,0,0
LN-10344,1,2,1,0,0,0,0,0,1,0,0,1,1
LN-10345,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10346,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10347,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10348,0,0,0,1,0,0,0,0,0,0,0,0,0
LN-10349,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10350,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10351,1,0,0,1,2,3,3,3,3,3,3,3,1
LN-10352,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10353,0,0,1,0,1,0,0,0,0,0,1,2,1
LN-10354,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10355,1,0,0,1,2,1,2,3,3,3,3,3,1
LN-10356,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10357,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10358,0,1,0,0,0,0,1,2,3,3,3,3,1
LN-10359,0,0,0,0,0,1,2,3,3,3,3,3,1
LN-10360,0,0,1,0,0,0,0,0,0,0,0,0,0
LN-10361,0,0,0,1,2,3,3,3,3,3,3,3,1
LN-10362,0,0,0,0,0,0,1,0,0,0,0,0,0
LN-10363,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10364,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10365,0,0,0,1,0,0,0,1,0,0,1,0,0
LN-10366,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10367,0,0,0,1,2,3,3,3,3,3,3,3,1
LN-10368,1,0,0,0,1,0,1,2,3,3,3,3,1
LN-10369,0,1,0,0,0,0,0,0,1,0,0,0,0
LN-10370,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10371,1,2,1,0,0,0,0,0,1,0,0,1,1
LN-10372,0,0,1,0,1,0,1,0,0,1,0,1,1
LN-10373,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10374,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10375,0,1,0,0,0,1,0,1,2,3,3,3,1
LN-10376,0,0,0,0,0,1,0,0,1,0,1,0,1
LN-10377,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10378,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10379,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10380,0,0,0,1,0,0,0,0,0,0,0,0,0
LN-10381,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10382,1,0,0,0,0,1,2,3,3,3,3,3,1
LN-10383,0,0,0,1,0,0,0,0,0,1,0,1,1
LN-10384,1,0,0,1,2,1,0,1,0,0,1,2,1
LN-10385,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10386,1,2,3,3,3,3,3,3,3,3,3,3,1
LN-10387,0,1,0,0,0,0,1,0,0,0,0,0,0
LN-10388,1,0,1,0,1,0,1,2,3,3,3,3,1
LN-10389,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10390,0,0,0,1,2,1,0,0,0,0,1,2,1
LN-10391,0,0,1,2,3,3,3,3,3,3,3,3,1
LN-10392,0,1,0,0,0,0,1,0,1,2,3,3,1
LN-10393,0,1,0,1,2,1,2,3,3,3,3,3,1
LN-10394,0,0,1,0,0,0,0,0,0,0,0,0,0
LN-10395,0,0,0,1,0,0,0,0,0,0,0,0,0
LN-10396,0,0,0,1,0,0,1,0,0,0,0,0,0
LN-10397,0,0,1,0,0,1,2,3,3,3,3,3,1
LN-10398,1,0,0,1,0,0,1,2,1,0,0,0,1
LN-10399,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10400,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10401,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10402,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10403,1,0,0,0,0,1,0,1,0,1,0,1,1
LN-10404,0,0,0,0,0,0,1,2,1,0,0,0,0
LN-10405,0,1,0,1,0,0,0,1,2,1,2,3,1
LN-10406,0,0,0,0,0,0,0,1,0,0,0,1,0
LN-10407,0,0,0,0,0,0,0,0,0,1,0,0,0
LN-10408,0,0,1,2,1,0,0,1,2,1,0,1,1
LN-10409,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10410,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10411,1,0,1,2,1,0,1,0,1,2,3,3,1
LN-10412,0,0,0,0,0,0,0,0,1,2,1,0,1
LN-10413,0,0,0,0,0,0,0,0,0,0,1,0,0
LN-10414,0,0,0,0,1,0,0,0,0,0,0,0,0
LN-10415,1,2,1,0,0,1,0,1,2,3,3,3,1
LN-10416,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10417,0,1,0,1,2,1,0,1,0,1,2,3,1
LN-10418,0,1,0,1,2,1,0,0,1,0,1,0,1
LN-10419,0,0,0,1,0,1,0,1,2,1,0,0,1
LN-10420,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10421,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10422,0,0,1,0,1,0,0,1,0,0,0,1,1
LN-10423,1,2,3,3,3,3,3,3,3,3,3,3,1
LN-10424,0,0,1,0,0,0,1,0,0,0,1,2,1
LN-10425,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10426,0,0,0,0,0,0,0,0,0,1,0,0,0
LN-10427,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10428,1,0,0,0,0,0,1,0,0,0,0,0,0
LN-10429,0,0,0,0,0,1,0,0,1,2,1,0,1
LN-10430,0,0,0,1,0,0,0,0,0,0,0,0,0
LN-10431,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10432,0,1,2,1,2,1,0,1,2,3,3,3,1
